dependent_variable,dependent_label,independent_variable,independent_label,n,intercept,coefficient,coefficient_direction,std_error,t_value,p_value,ci_lower_95,ci_upper_95,r_squared,adj_r_squared,f_statistic,f_p_value,aic,bic
t_quality,Integrated Tree Quality,tree_health_mean,Intactness (% canopy),41,-30.386120,33.769050,+,9.442665,3.576220,0.000949,14.669458,52.868643,0.246949,0.227640,12.789352,0.000949,191.182009,194.609153
t_quality,Integrated Tree Quality,health_color_squared,Color. & Intact. (% canopy),41,-13.992067,17.944008,+,5.128598,3.498814,0.001185,7.570439,28.317576,0.238901,0.219386,12.241696,0.001185,191.617879,195.045023
t_quality,Integrated Tree Quality,health_color_height_prop_cubed,Canopy Health Index(height-wieghted),41,-6.207997,9.746746,+,3.240854,3.007462,0.004594,3.191499,16.301992,0.188258,0.167444,9.044827,0.004594,194.259062,197.686207
t_quality,Integrated Tree Quality,genera_true_evenness,Genus evenness,41,3.815380,-8.409850,-,3.881670,-2.166554,0.036441,-16.261269,-0.558430,0.107428,0.084542,4.693958,0.036441,198.150973,201.578117
t_quality,Integrated Tree Quality,species_true_evenness,Tax. evenness,41,4.486736,-9.452489,-,4.455594,-2.121488,0.040289,-18.464777,-0.440200,0.103463,0.080475,4.500711,0.040289,198.332707,201.759851
t_quality,Integrated Tree Quality,mean_height_log,Mean Height,41,8.894934,-3.953841,-,2.325086,-1.700514,0.096997,-8.656772,0.749089,0.069029,0.045158,2.891748,0.096997,199.877933,203.305077
t_quality,Integrated Tree Quality,soil_access_per_tree_count_sqrt,Soil restrictions,41,5.696920,-4.601094,-,2.870463,-1.602910,0.117024,-10.407153,1.204964,0.061808,0.037752,2.569322,0.117024,200.194716,203.621860
t_quality,Integrated Tree Quality,street_tree_percent,Street trees (% of trees),41,1.602357,-7.800503,-,5.581445,-1.397578,0.170140,-19.090041,3.489035,0.047694,0.023276,1.953223,0.170140,200.806925,204.234069
t_quality,Integrated Tree Quality,quercus_height_sum_prop_sqrt,Oak abund. (% height),41,-0.484683,3.373413,+,3.089668,1.091837,0.281604,-2.876031,9.622857,0.029660,0.004780,1.192107,0.281604,201.576080,205.003224
t_quality,Integrated Tree Quality,acer_height_sum_prop,Maple abund. (% height),41,-0.506906,3.932621,+,4.370374,0.899836,0.373730,-4.907295,12.772537,0.020339,-0.004780,0.809705,0.373730,201.968036,205.395180
t_quality,Integrated Tree Quality,acer_count_per_tree_count,Maple abund. (% of trees),41,-0.442724,4.695868,+,5.761613,0.815027,0.420007,-6.958094,16.349830,0.016747,-0.008464,0.664268,0.420007,202.118096,205.545240
t_quality,Integrated Tree Quality,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,-0.261500,3.241527,+,4.099789,0.790657,0.433926,-5.051079,11.534134,0.015776,-0.009460,0.625139,0.433926,202.158563,205.585707
t_quality,Integrated Tree Quality,percent_angio_cubed,Angio. abund. (% of trees),41,0.847424,-0.641366,-,2.330914,-0.275156,0.784649,-5.356085,4.073353,0.001938,-0.023654,0.075711,0.784649,202.731032,206.158176
t_quality,Integrated Tree Quality,arbuscular_height_prop_squared,AMF abund. (% height),41,0.768776,-0.724285,-,2.921782,-0.247892,0.805519,-6.634147,5.185576,0.001573,-0.024028,0.061450,0.805519,202.745998,206.173142
t_quality,Integrated Tree Quality,arbuscular_prop,AMF abund. (% of trees),41,-0.300268,0.966654,+,5.507108,0.175528,0.861573,-10.172523,12.105831,0.000789,-0.024831,0.030810,0.861573,202.778171,206.205315
t_quality,Integrated Tree Quality,diffuse_prop,D-porous abund. (% trees),41,0.184544,0.629512,+,4.918192,0.127997,0.898809,-9.318471,10.577496,0.000420,-0.025210,0.016383,0.898809,202.793329,206.220473
t_quality,Integrated Tree Quality,diffuse_height_prop,D-porous abund. (% height),41,0.284024,0.313289,+,4.337024,0.072236,0.942783,-8.459170,9.085748,0.000134,-0.025504,0.005218,0.942783,202.805063,206.232208
