term,coefficient,std_error,t_value,p_value,ci_lower_95,ci_upper_95,n,r_squared,adj_r_squared,aic,bic
const,43.333176,0.047066,920.693224,0.000000,43.240915,43.425436,8520,0.789282,0.789208,26604.347504,26632.548190
canopy_per,-11.574601,0.124962,-92.624841,0.000000,-11.819557,-11.329644,8520,0.789282,0.789208,26604.347504,26632.548190
grass_per,-7.450242,0.117824,-63.231867,0.000000,-7.681206,-7.219278,8520,0.789282,0.789208,26604.347504,26632.548190
elev_sq,-0.000023,0.000001,-41.349841,0.000000,-0.000024,-0.000022,8520,0.789282,0.789208,26604.347504,26632.548190
