variable_1,variable_1_label,variable_2,variable_2_label,n,pearson_r,p_value
stressors_sum_per_tree_count,Damage score,soil_access_per_tree_count_sqrt,Soil restrictions,41,0.297077,0.059265
soil_access_per_tree_count_sqrt,Soil restrictions,diffuse_prop,D-porous abund. (% trees),41,0.293684,0.062368
tax_richness_per_hectare,Tax. richness,acer_height_sum_prop,Maple abund. (% height),41,0.293193,0.062827
stressors_sum_per_tree_count,Damage score,percent_angio_cubed,Angio. abund. (% of trees),41,0.291093,0.064823
genera_true_evenness,Genus evenness,quercus_height_sum_prop_sqrt,Oak abund. (% height),41,-0.291009,0.064904
mean_height_log,Mean Height,stressors_sum_per_tree_count,Damage score,41,0.288694,0.067164
diffuse_height_prop,D-porous abund. (% height),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.285904,0.069971
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),soil_access_per_tree_count_sqrt,Soil restrictions,41,-0.285069,0.070829
genera_true_evenness,Genus evenness,health_color_height_prop_cubed,Canopy Health Index(height-wieghted),41,-0.280517,0.075651
genera_richness_per_hectare,Genus richness,mean_height_log,Mean Height,41,-0.279426,0.076843
genera_richness_per_hectare,Genus richness,diffuse_prop,D-porous abund. (% trees),41,0.279073,0.077233
acer_count_per_tree_count,Maple abund. (% of trees),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.279044,0.077266
diffuse_height_prop,D-porous abund. (% height),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.274040,0.082951
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),acer_count_per_tree_count,Maple abund. (% of trees),41,0.273315,0.083802
mean_height_log,Mean Height,arbuscular_prop,AMF abund. (% of trees),41,-0.272606,0.084640
mean_height_log,Mean Height,percent_angio_cubed,Angio. abund. (% of trees),41,-0.268109,0.090108
genera_true_evenness,Genus evenness,tree_health_mean,Intactness (% canopy),41,-0.264347,0.094888
health_color_squared,Color. & Intact. (% canopy),diffuse_prop,D-porous abund. (% trees),41,0.263179,0.096411
species_true_evenness,Tax. evenness,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,-0.262937,0.096729
genera_true_evenness,Genus evenness,diffuse_prop,D-porous abund. (% trees),41,-0.262309,0.097558
stressors_sum_per_tree_count,Damage score,acer_count_per_tree_count,Maple abund. (% of trees),41,-0.261221,0.099007
genera_true_evenness,Genus evenness,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,-0.258301,0.102977
genera_richness_per_hectare,Genus richness,percent_angio_cubed,Angio. abund. (% of trees),41,-0.257730,0.103767
species_true_evenness,Tax. evenness,quercus_height_sum_prop_sqrt,Oak abund. (% height),41,-0.256703,0.105201
acer_height_sum_prop,Maple abund. (% height),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.252114,0.111790
genera_richness_per_hectare,Genus richness,street_tree_percent,Street trees (% of trees),41,0.248375,0.117386
stressors_sum_per_tree_count,Damage score,street_tree_percent,Street trees (% of trees),41,0.244358,0.123629
tax_richness_per_hectare,Tax. richness,mean_height_log,Mean Height,41,-0.243163,0.125535
tax_richness_per_hectare,Tax. richness,acer_count_per_tree_count,Maple abund. (% of trees),41,0.242763,0.126177
