GEOID10,acer_count,acer_count_per_tree_count,acer_height_sum,acer_height_sum_prop,ag_hh_inc,aland10,angio_height_prop,angio_height_prop_cubed,angio_height_sum,arbuscular_height_prop,arbuscular_height_prop_squared,arbuscular_prop,area_hectare,building_per_pix,canopy_per,count_am,cqq,diffuse_count,diffuse_height_prop,diffuse_height_sum,diffuse_prop,genera_dominance,genera_richness,genera_richness_per_hectare,genera_true_evenness,GEOID10,grass_per,health_color,health_color_height_prop,health_color_height_prop_cubed,health_color_squared,imp_per,lst_avg,lst_res,mean_height,mean_height_log,med_hh_inc,muni_id,muni_name,ndvi_avg,ndvi_cv,ndvi_cvA_O,ndvi_cvJ_A,ndvi_res,per_bipoc,percent_angio,percent_angio_cubed,pop_density,quercus_acer_height_sum,quercus_acer_height_sum_prop,quercus_count,quercus_count_per_tree_count,quercus_count_per_tree_sqrt,quercus_height_sum,quercus_height_sum_prop,quercus_height_sum_prop_sqrt,soil_access_count,soil_access_per_tree_count,soil_access_per_tree_count_sqrt,spa,spanm,species_dominance,species_true_evenness,street_tree_count,street_tree_height_sum,street_tree_height_sum_prop,street_tree_percent,stressors_sum,stressors_sum_per_tree_count,stressors_sum_per_tree_count_sqrt,sum_AM_heights,sum_angio,sum_bark_issue,sum_basal_bole,sum_branch_iss,sum_height_per_hectare,sum_heights,sum_heights_per_hectare,sum_size_health_color,t_quality,tax_richness_per_hectare,taxonomic_richness,total_pop,tree_count,tree_count_per_hectare,tree_health_mean,wkt_geom
390351164005005,25,0.126903553,195,0.1336074,7843500,21860,0.92490579,0.791211323,1349.9,0.76882494,0.591091788,0.817258883,2.186,0.234716904,0.291144835,161,0.453889063,52,0.347105173,506.6,0.263959391,0.08418146,27,12.35132662,0.439966677,3.90351E+14,0.27971223,0.828201142,0.782138189,0.478465331,0.685917132,0.389166667,35.74954253,-1.309756675,7.446428571,2.007734531,31350,46,Cleveland,0.53349585,0.172358639,0.130467511,0.071683116,0.027307933,1,0.92490579,0.791211323,49.4053065,334.3,0.229051045,11,0.055837563,0.236299732,139.3,0.095443645,0.308939549,263,1.335025381,1.155432984,32,Glenville,0.057199211,0.47250699,15,186.6,0.127852004,0.076142132,61,0.30964467,0.556457249,1122.1,1349.9,10,22,29,667.6578225,1459.5,667.6578225,1141.530688,1.83586996,16.92589204,37,108,197,90.1189387,0.872969543,"MultiPolygon (((-81.61898399999999754 41.5327000000000055, -81.618977000000001 41.53248199999999457, -81.618977000000001 41.5320469999999986, -81.62261300000000119 41.53206300000000084, -81.62261699999999109 41.53270699999999493, -81.61898399999999754 41"
390351182004003,34,0.163461538,383,0.203593451,6886900,30185,0.931905167,0.80931047,1753.1,0.664682118,0.441802318,0.697115385,3.0185,0.183542999,0.33737684,145,0.386595276,67,0.462789709,870.6,0.322115385,0.07871829,32,10.60129203,0.396985251,3.90351E+14,0.367985135,0.88961238,0.878192643,0.677281766,0.791410186,0.355020323,35.88610768,0.082133961,9.044230769,2.20212707,55250,46,Cleveland,0.568880733,0.165546267,0.122678668,0.050576784,0.006344136,1,0.931905167,0.80931047,28.82226271,731.1,0.388634914,26,0.125,0.353553391,348.1,0.185041463,0.43016446,252,1.211538462,1.100699079,32,Glenville,0.050339565,0.472978343,11,99.8,0.053051244,0.052884615,74,0.355769231,0.596463939,1250.4,1753.1,7,25,42,623.2234554,1881.2,623.2234554,1652.056,0.203057131,13.91419579,42,87,208,68.90839821,0.911057692,"MultiPolygon (((-81.60937299999999084 41.52796299999999974, -81.60936499999999683 41.52699700000000149, -81.61272400000000005 41.52698900000000037, -81.6127350000000007 41.52796099999999768, -81.60937299999999084 41.52796299999999974)))"
390351183012000,32,0.19047619,383.1,0.244667263,3905900,26236,0.936262613,0.820716273,1466,0.680610551,0.463230721,0.75,2.6236,0.166301318,0.247192603,126,-0.109390078,52,0.344999361,540.2,0.30952381,0.09162415,28,10.67235859,0.389791183,3.90351E+14,0.403298569,0.931515719,0.913846277,0.763166749,0.867721534,0.375793242,36.94332495,0.400997375,9.376047904,2.238158342,-,46,Cleveland,0.550154675,0.175401756,0.141549741,0.137817053,0.0154882,0.987804878,0.936262613,0.820716273,31.25476445,743.4,0.474773279,24,0.142857143,0.377964473,360.3,0.230106016,0.479693669,179,1.06547619,1.032219061,32,Glenville,0.068806689,0.403707518,5,32.4,0.020692298,0.029761905,52,0.30952381,0.55634864,1065.7,1466,5,19,28,596.8135386,1565.8,596.8135386,1430.9005,-0.375140296,13.7216039,36,82,168,64.03415155,0.942215569,"MultiPolygon (((-81.60483999999999583 41.52282799999999696, -81.60483899999999835 41.52236999999999512, -81.60482600000000275 41.52098000000000155, -81.60481599999999958 41.52022499999999638, -81.60559099999998978 41.52022199999999685, -81.60592699999999"
390351197022000,43,0.169291339,359.1,0.179765719,6519500,23378,0.982579095,0.948642462,1962.8,0.627352823,0.393571565,0.673228346,2.3378,0.16061649,0.246464879,171,0.318301016,65,0.261263516,521.9,0.255905512,0.125271251,22,9.410556934,0.36284898,3.90351E+14,0.396016941,0.805973606,0.783835259,0.48158659,0.649593453,0.390832424,34.70096325,-1.039023844,7.864566929,2.062367472,24435,46,Cleveland,0.547528687,0.162485755,0.09994106,0.055896889,0.015895413,1,0.982579095,0.948642462,53.89682608,685.1,0.342961554,32,0.125984252,0.354942604,326,0.163195835,0.403975043,271,1.066929134,1.032922618,31,Buckeye-Shaker Square,0.091233182,0.342528882,18,122,0.061073288,0.070866142,146,0.57480315,0.758157734,1253.2,1962.8,41,5,100,854.4785696,1997.6,854.4785696,1565.789313,2.210202131,13.68808281,32,126,254,108.6491573,0.817131474,"MultiPolygon (((-81.59627499999999145 41.4780189999999962, -81.59624699999999109 41.4752459999999985, -81.59715299999999161 41.4752459999999985, -81.59717200000000048 41.47711899999999474, -81.59719799999999168 41.4780189999999962, -81.59627499999999145"
390351202002003,33,0.175531915,366.2,0.222384162,8368200,25566,0.955365276,0.87198368,1573.2,0.808343961,0.653419959,0.808510638,2.5566,0.186402991,0.261552771,152,0.18550102,53,0.34074209,561.1,0.281914894,0.102648257,23,8.996323242,0.423565505,3.90351E+14,0.31954558,0.906256831,0.885282535,0.693818202,0.821301443,0.428028812,36.04291222,-0.366157961,8.853225806,2.180781891,17500,46,Cleveland,0.536120646,0.18238846,0.130514885,0.063351287,0.026855808,0.992366412,0.955365276,0.87198368,51.23992803,381.2,0.23149329,1,0.005319149,0.072932496,15,0.009109127,0.095441748,236,1.255319149,1.120410259,21,Kinsman,0.077014486,0.405767818,17,118.5,0.071962106,0.090425532,77,0.409574468,0.639980053,1331.1,1573.2,18,12,47,644.0976297,1646.7,644.0976297,1457.79475,1.012338645,12.51662364,32,131,188,73.53516389,0.919459459,"MultiPolygon (((-81.61426600000000064 41.47431699999999921, -81.61531300000000044 41.47431699999999921, -81.61637499999999079 41.47432500000000033, -81.61744600000000105 41.47432500000000033, -81.61744699999999852 41.47518399999999872, -81.61426600000000"
390351206002008,27,0.257142857,241.8,0.296614328,18002000,17863,0.880642787,0.682966414,717.9,0.893277723,0.797945091,0.866666667,1.7863,0.199875172,0.326013575,91,0.527273678,44,0.490186457,399.6,0.419047619,0.121116864,18,10.07669484,0.458693808,3.90351E+14,0.250416718,0.866744048,0.84359651,0.600349735,0.751245244,0.453026608,35.64862146,-0.339337153,7.914563107,2.068704494,28750,46,Cleveland,0.523407866,0.166813453,0.107192401,0.056117063,0.015017645,0.983333333,0.880642787,0.682966414,33.58898281,259.4,0.318204122,1,0.00952381,0.097590007,17.6,0.021589794,0.146934659,169,1.60952381,1.268670095,0,,0.090421598,0.526633557,18,182.5,0.223871443,0.171428571,52,0.495238095,0.703731551,728.2,717.9,6,25,21,456.3623132,815.2,456.3623132,687.699875,1.349169413,11.75614398,21,60,105,58.78071992,0.919761905,"MultiPolygon (((-81.60726400000000069 41.45932699999999471, -81.60722799999999211 41.45909400000000034, -81.60714899999999261 41.45888599999999968, -81.60698200000000213 41.45861399999999719, -81.60666700000000162 41.45824499999999802, -81.60767799999999"
390351232002027,18,0.160714286,138,0.204869359,30641300,18387,0.84263658,0.598302648,567.6,0.825564133,0.681556138,0.883928571,1.8387,0.159609729,0.199354265,99,0.011610627,44,0.397713777,267.9,0.392857143,0.06776148,28,15.22815032,0.527058824,3.90351E+14,0.448128538,0.949938616,0.937265996,0.823357761,0.902383374,0.35252021,35.78431176,-0.586713425,6.068468468,1.803106262,50893,46,Cleveland,0.517983503,0.129365574,0.081900976,0.051476958,-0.007747907,0.301587302,0.84263658,0.598302648,34.26333823,174.8,0.259501188,2,0.017857143,0.133630621,36.8,0.054631829,0.233734527,144,1.285714286,1.133893419,1,Kamm's,0.043845663,0.556274945,15,155.6,0.230997625,0.133928571,26,0.232142857,0.481812056,556.1,567.6,10,4,12,366.3457878,673.6,366.3457878,631.342375,1.622599346,22.29836297,41,63,112,60.91260129,0.959598214,"MultiPolygon (((-81.78874100000000169 41.46554599999999624, -81.78929899999999975 41.46555699999999689, -81.78988599999999565 41.46555699999999689, -81.78985699999999781 41.46645699999999835, -81.78981600000000185 41.46729200000000048, -81.78867599999999"
390351236012002,33,0.202453988,334.2,0.283388451,18644500,29761,0.752310693,0.42578632,887.2,0.740863224,0.548878317,0.797546012,2.9761,0.23743759,0.170020702,130,-0.292747795,52,0.385906894,455.1,0.319018405,0.087884377,31,10.41631666,0.367051185,3.90351E+14,0.302577029,0.940379601,0.913892987,0.763283782,0.884313794,0.41134645,38.59564391,0.832826124,7.234969325,1.97892612,49900,46,Cleveland,0.474025209,0.122342275,0.105658574,0.091298067,0.020471843,0.140495868,0.752310693,0.42578632,40.65723598,480,0.407021114,7,0.042944785,0.207231236,145.8,0.123632663,0.351614368,291,1.785276074,1.336142236,1,Kamm's,0.057849373,0.411577904,39,464.2,0.393623336,0.239263804,51,0.312883436,0.559359844,873.7,887.2,13,11,27,396.2568462,1179.3,396.2568462,1077.754,0.576386191,14.11242902,42,121,163,54.769665,0.946625767,"MultiPolygon (((-81.80922900000000197 41.44601600000000019, -81.8093239999999895 41.44305800000000062, -81.81041299999999694 41.44308799999999593, -81.81037200000000098 41.44417599999999879, -81.81032499999999175 41.44602099999999467, -81.809496999999993"
390351237003006,14,0.145833333,128.6,0.19242855,45448100,23434,0.911865928,0.758216038,609.4,0.762382164,0.581226564,0.770833333,2.3434,0.204056631,0.193217275,74,-0.558015122,47,0.473140805,316.2,0.489583333,0.076605903,27,11.52172058,0.483474976,3.90351E+14,0.399707117,0.875045573,0.882952267,0.688353742,0.765704755,0.347366507,39.13209422,2.339850146,6.961458333,1.940388983,66150,46,Cleveland,0.495158054,0.135934203,0.10301408,0.089733942,-0.009903084,0.147058824,0.911865928,0.758216038,29.01766664,158.6,0.23731857,2,0.020833333,0.144337567,30,0.044890019,0.211872649,141,1.46875,1.211919964,1,Kamm's,0.057725694,0.481203008,24,231.8,0.346850217,0.25,49,0.510416667,0.714434508,509.5,609.4,9,14,26,285.1839208,668.3,285.1839208,590.077,-1.631803219,15.3622941,36,68,96,40.96611761,0.929427083,"MultiPolygon (((-81.83384399999999914 41.43147400000000147, -81.83385199999999315 41.43101599999999962, -81.83430500000000052 41.42952199999999863, -81.83432799999999929 41.42926200000000136, -81.83538799999999469 41.42927999999999855, -81.83535899999999"
390351242011009,31,0.316326531,407.6,0.395805011,22081400,22297,0.846475044,0.606516298,871.7,0.659739755,0.435256545,0.734693878,2.2297,0.141168921,0.351984732,72,0.298781226,44,0.479996116,494.3,0.448979592,0.129737609,23,10.31528905,0.335124573,3.90351E+14,0.501980555,0.932385204,0.910982351,0.75601409,0.869342169,0.280171305,35.74054901,1.627815189,10.50816327,2.352152409,37083,46,Cleveland,0.61611448,0.146201313,0.1037096,0.048758951,0.000169093,0.194029851,0.846475044,0.606516298,30.0488855,587.9,0.570887551,9,0.091836735,0.303045763,180.3,0.17508254,0.418428656,117,1.193877551,1.092647039,2,Jefferson,0.068096626,0.396892305,19,229.2,0.222567489,0.193877551,24,0.244897959,0.494871659,679.4,871.7,2,11,11,461.855855,1029.8,461.855855,938.129625,-0.712145775,16.59416065,37,67,98,43.95210118,0.943112245,"MultiPolygon (((-81.79376499999999339 41.44851399999999586, -81.79379199999999628 41.44799199999999928, -81.79379699999999787 41.44769000000000148, -81.79672499999999502 41.44771899999999931, -81.79670199999999625 41.44853499999999968, -81.79376499999999"
